Year,Month,Sydney,Blue Mountains,Capital Country,Central Coast,Central NSW,Hunter,New England North West,North Coast NSW,Outback NSW,Riverina,Snowy Mountains,South Coast,The Murray,Melbourne,Ballarat,Bendigo Loddon,Central Highlands,Central Murray,Geelong,Gippsland,Goulburn,High Country,Lakes,Macedon,Mallee,Melbourne East,Murray East,Peninsula,Phillip Island,Spa Country,Upper Yarra,Western,Western Grampians,Wimmera,Brisbane,Bundaberg,Central Queensland,Darling Downs,Fraser Coast,Gold Coast,Mackay,Northern,Outback,Sunshine Coast,Tropical North Queensland,Whitsundays,Adelaide,Adelaide Hills,Barossa,Clare Valley,Eyre Peninsula,Fleurieu Peninsula,Limestone Coast,Murraylands,Riverland,Yorke Peninsula,Flinders Ranges and Outback,Kangaroo Island,Experience Perth,Australia's Golden Outback,Australia's North West,Australia's South West,Australia's Coral Coast,Hobart and the South,East Coast,"Launceston, Tamar and the North",North West,Wilderness West,Darwin,Barkly,Alice Springs,Kakadu Arnhem,Katherine Daly,Lasseter,MacDonnell,Canberra
1998,January,3749.420009,235.6109064,277.2580087,1234.153504,610.2297875,1332.659538,614.7861012,4014.959641,125.776567,312.5169035,282.6135487,3571.298778,604.1673479,2022.722563,116.6302986,435.4532703,149.8148883,360.1828535,438.5908946,630.398434,211.7396292,706.8996667,493.3065726,24.5760727,334.193646,17.346197,25.132756,1393.359125,1019.051086,96.8998666,82.5221266,1661.283807,178.0434271,23.9569578,2420.487912,173.0543456,231.4255382,196.9163439,301.4623199,2173.219303,126.0118687,387.795982,107.3978184,1840.926914,497.2963544,203.5572567,1460.011313,18.9648622,18.8435933,62.6477689,220.934673,254.9663565,556.1624205,180.5479153,173.2869466,308.0490278,170.2058148,93.9393233,1482.385647,304.1467502,263.5703417,768.8071698,316.9559499,847.9735793,228.702591,531.5900215,195.5124261,46.9571556,46.8480279,22.6722637,9.1651715,2.584923,21.1276027,19.7768704,10.2899071,612.447811
1998,February,1691.664436,79.8002719,160.2386891,245.5651752,150.8557298,610.9398317,174.9908081,909.9810604,51.9434112,90.9816888,73.1086802,1066.88277,114.5289827,1448.680458,127.140201,85.8036448,31.77922,130.6898229,139.2212787,243.5050688,40.399212,110.2670016,142.7098108,13.9023649,166.5628434,154.161427,5.6515668,312.8606215,198.5472636,22.7025176,83.5063411,342.7058871,50.9674105,6.0839842,1302.904782,72.7398617,217.8421382,95.194148,109.3018675,652.7402921,181.1290919,218.7600065,2.178693,477.6680521,181.129566,102.8429584,492.1038906,0,32.7582725,27.6295605,154.3720916,219.8787485,113.8862991,24.1513061,51.9487529,122.7049126,72.0898504,12.9585992,850.6717434,155.082636,360.128887,370.5312305,95.3859321,227.8027035,149.6244807,258.5694717,93.8828624,28.0230326,44.4561755,1.1998002,5.2964594,5.6873909,11.8155039,4.7060874,0.5228986,471.262833
1998,March,1878.094277,105.5547847,191.6963671,248.1979957,337.2206815,497.9122262,376.7276975,1199.225593,114.009915,139.3069067,155.6462828,1179.847256,277.4745567,1393.474038,105.2135775,112.950383,72.7993169,312.5318273,115.975191,283.0451146,168.6542449,243.1889093,185.4988916,4.4379838,177.8750516,43.5923377,24.8966086,225.4974793,185.9099405,72.9905734,95.1412301,438.0151192,76.3029024,23.0709763,1588.125224,70.0915062,122.2431646,400.1598347,171.340926,918.0142488,122.7493321,212.7923545,47.1348903,731.9656484,291.9296227,41.1299108,834.7616069,3.5495909,20.3786571,15.6783218,53.277905,159.1337668,123.4270947,22.5730827,48.0034393,161.4688221,46.1145345,36.837177,742.7215505,235.7659859,87.3038868,721.5629645,82.3087076,520.9497698,70.0190838,172.2055068,114.0671937,28.9692089,204.1274031,3.9733555,17.3951959,17.2472617,32.8530187,0.8894534,0,430.1988155
1998,April,2218.486489,176.765446,328.2503924,409.4939937,642.2483624,1608.119556,461.0410138,2067.473509,427.407691,176.1034335,190.0935525,1092.24481,332.2069153,1260.153051,81.0444017,133.2604908,137.2131405,234.7510796,274.7424578,423.150258,91.7866394,421.8077024,371.4416131,51.309828,421.1132644,105.6865181,42.9498261,195.2796792,124.6775344,59.8642843,115.0466823,546.636187,102.7061267,51.4278542,1091.81151,84.3795755,212.7770157,281.4375653,193.6754727,1075.577447,283.4388436,142.2314079,75.0424155,935.4575157,354.5963272,246.4967769,844.2230851,20.2839768,24.0203289,40.3381138,159.2612894,158.5089722,139.8935574,39.3306564,150.0689593,187.3358083,99.3457866,2.9868437,706.6644192,301.8255948,116.8164118,584.0353964,271.2217396,388.4302041,114.6099123,156.6030608,135.0674043,42.5672322,148.2086694,0,42.4218677,25.4979046,5.355521,15.282432,13.2700932,502.4044721
1998,May,2162.827477,148.2597135,264.5472931,232.0283903,355.7101306,543.0018907,395.4225306,1076.512403,233.0785403,354.7938628,203.5765538,931.9206141,233.8746561,1451.256623,55.4776438,121.325453,42.1907673,138.0748996,129.4682989,163.807143,86.5383288,314.3594099,259.0818345,68.073809,170.4063795,32.0326899,51.5103971,183.1389775,112.83426,25.4121525,72.4789038,238.8285103,74.8040701,44.2569184,940.6056172,216.0407484,394.8773656,279.2360838,118.3859567,619.891028,129.0808882,143.797503,148.234846,694.6984909,404.1646472,135.4015386,554.5634123,131.3659772,67.7066336,49.0622033,64.3879663,105.8432242,110.5486129,18.5180854,56.3411212,103.4866495,130.652007,10.4536679,721.3413698,148.2029784,1166.079894,351.2367785,232.3071626,246.0792039,49.3737219,179.8079212,59.26495,16.8512615,120.9264179,6.3000167,96.5897,66.9022396,26.25086,22.8151197,0.7342889,338.3174728
1998,June,1748.31638,92.926227,169.3350134,190.9731598,243.2755606,507.1174519,204.5592036,1322.243551,97.0082974,327.9593376,149.6559209,442.2712818,280.3352233,1401.200614,88.4470843,220.8874746,56.3662406,124.8390207,92.3023524,87.3441066,150.7492025,209.2281236,128.7647986,12.1878704,73.7866164,10.092458,4.0978928,210.6360279,156.8385519,43.630584,4.4144662,175.0400061,40.485531,54.9963481,937.9476929,99.346704,371.5466391,539.6471829,233.3536453,959.6408132,94.4630994,364.3778377,285.9512087,531.056573,328.8395934,149.6899869,416.3440965,0,66.2280664,32.063459,85.2699047,118.2575604,66.9629362,63.4254404,78.2588862,62.5831345,221.8461657,0,726.9230247,107.6510018,188.0482097,284.1648989,140.4949161,241.7418435,81.836602,140.2297474,129.7874308,10.4441965,239.6910135,21.0703755,75.9758379,157.4132513,251.2029441,54.3434334,5.0565982,236.2944046
1998,July,2330.849185,267.8435548,164.0124104,286.0510025,391.0896358,559.5441471,236.4064048,1124.454777,157.5834765,108.761177,607.5272207,692.9377794,220.7850106,1514.254252,101.4534389,93.564065,90.2349948,132.7279011,130.0969404,207.7676959,208.1951493,356.9772976,214.7092891,0,192.2145211,55.2786589,10.2139207,203.5741302,23.1768756,51.4303005,42.3599987,229.1487642,52.9397128,28.7040482,1249.822847,306.8858637,338.5380981,326.9189778,269.4897782,1471.933544,194.9270378,159.0578205,180.0202854,1079.829281,599.6461264,43.1936971,888.6878437,22.8499571,22.4280428,6.8343449,100.1139932,162.1441821,117.2069419,44.829349,45.1701758,30.6322371,282.2429901,9.2391875,1030.194732,365.0149616,665.7924719,333.5689669,507.0896115,270.9054088,24.5994163,65.2088648,57.219607,5.725622,495.278329,37.2320181,243.9369138,40.1174767,146.0697286,67.1849717,37.8811376,370.5544836
1998,August,2168.921686,127.7984432,107.3831653,244.2949078,325.1961468,408.0017914,320.9770989,938.4855885,153.6069698,297.347399,570.2506152,620.7997963,317.9833968,1327.333069,43.5662545,44.8147729,74.7380128,52.2099496,122.5762263,178.3962263,48.9592968,483.0097275,116.4106036,22.3797499,206.3556865,23.9382149,35.8803991,138.7303816,76.8784647,63.5282289,44.1778413,238.4027301,38.4647688,45.0985188,1227.568673,68.4736294,272.4854707,322.5091366,280.4849756,1278.237185,216.81333,766.9100816,451.5311938,855.7021772,1196.795539,198.0707166,620.7131406,3.1095561,15.7154698,35.009526,101.5265286,27.4340349,69.0537449,16.9579031,59.8913175,145.8097373,80.1951494,25.6826767,922.3573661,225.7169425,507.2196146,360.2029386,374.5186524,105.0440462,41.9851325,102.0622861,41.2851578,25.4558224,748.347096,70.1176335,110.1938413,978.0081707,97.184417,44.3314446,41.6573196,379.3543192
1998,September,1784.326696,125.984175,74.1866386,57.5195702,477.8386674,512.4792484,363.110991,1173.927564,67.3347667,268.9904814,218.0629469,614.3152578,373.5785426,1579.915321,71.2150225,85.0712275,67.6161487,104.3362219,123.1781966,226.3388517,170.3601683,287.050285,217.6164222,18.9457581,186.5131445,33.2263832,2.8233053,104.5588456,90.6576908,31.7653439,44.3394186,288.4228856,51.7603923,17.207052,1227.108044,318.9420027,322.8306836,412.0950498,242.332488,1846.50842,396.6066985,260.8830675,422.079647,1143.313445,1428.576013,237.0939586,663.6234243,12.420503,35.3222982,16.4284934,117.8376085,27.5704898,76.32004,40.5059039,75.99803,57.8833282,276.2656694,11.0868111,834.7340758,415.4525125,403.658348,333.8123299,879.9811571,176.9444777,47.7931581,55.8012843,74.9252803,16.6199686,306.3912283,27.3287831,115.4456853,39.7417997,84.7843091,67.5045004,7.1953237,471.3470581
1998,October,2191.071568,250.9638069,262.9720849,210.0948708,611.7293028,480.7365956,257.8474382,2254.746434,382.3350251,173.5679433,181.9098988,938.6447979,287.0165367,1655.825566,121.6511094,198.4705564,147.2510035,183.4348475,74.6296389,160.4197955,78.4953978,157.3262719,185.0080578,46.0883281,210.5109854,50.5139503,37.3086352,275.2255581,135.6655255,33.4668015,36.4794986,449.2864765,79.7452925,9.410005,1305.890978,97.3828339,435.3817696,251.7656924,156.8350857,1168.144707,493.6813561,190.6838407,334.3885364,987.0324278,711.9685961,387.4615781,480.2395633,13.4842817,55.166582,38.2788516,103.9675605,139.6978187,103.6180933,116.0751996,155.7424512,119.0319512,423.5264241,11.914581,1124.688959,387.6853202,796.7364935,647.1588571,481.7075057,251.9285461,56.5033482,188.4178933,104.626913,34.3411074,417.202144,32.7916471,436.2280284,36.6958869,71.0994607,101.4651762,40.2986904,528.6190811
